CAN_ID,p_des
4,0.627659
4,0.629633
4,0.631609
4,0.633588
4,0.63557
4,0.637553
4,0.639539
4,0.641527
4,0.643518
4,0.64551
4,0.647505
4,0.649503
4,0.651502
4,0.653504
4,0.655508
4,0.657515
4,0.659523
4,0.661534
4,0.663547
4,0.665563
4,0.66758
4,0.6696
4,0.671622
4,0.673646
4,0.675673
4,0.677702
4,0.679732
4,0.681765
4,0.683801
4,0.685838
4,0.687878
4,0.68992
4,0.691964
4,0.69401
4,0.696058
4,0.698109
4,0.700161
4,0.702216
4,0.704273
4,0.706332
4,0.708393
4,0.710457
4,0.712522
4,0.71459
4,0.716659
4,0.718731
4,0.720805
4,0.722881
4,0.724959
4,0.727039
4,0.729122
4,0.731206
4,0.733292
4,0.735381
4,0.737471
4,0.739564
4,0.741659
4,0.743755
4,0.745854
4,0.747955
4,0.750058
4,0.752162
4,0.754269
4,0.756378
4,0.758489
4,0.760602
4,0.762717
4,0.764833
4,0.766952
4,0.769073
4,0.771196
4,0.773321
4,0.775448
4,0.777576
4,0.779707
4,0.78184
4,0.783974
4,0.786111
4,0.788249
4,0.790389
4,0.792532
4,0.794676
4,0.796822
4,0.79897
4,0.80112
4,0.803272
4,0.805426
4,0.807581
4,0.809739
4,0.811898
4,0.814059
4,0.816223
4,0.818388
4,0.820554
4,0.822723
4,0.824894
4,0.827066
4,0.82924
4,0.831416
4,0.833594
4,0.835774
4,0.837956
4,0.840139
4,0.842324
4,0.844511
4,0.8467
4,0.84889
4,0.851082
4,0.853276
4,0.855472
4,0.85767
4,0.859869
4,0.86207
4,0.864273
4,0.866478
4,0.868684
4,0.870892
4,0.873102
4,0.875313
4,0.877527
4,0.879742
4,0.881958
4,0.884177
4,0.886397
4,0.888618
4,0.890842
4,0.893067
4,0.895294
4,0.897522
4,0.899752
4,0.901984
4,0.904217
4,0.906452
4,0.908689
4,0.910927
4,0.913167
4,0.915409
4,0.917652
4,0.919897
4,0.922143
4,0.924391
4,0.926641
4,0.928892
4,0.931145
